  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
     1  6.000000E-04  2.306467E-15  3.169401E+13  4.873411E-02  1.440000E-04  5.934270E+06
     2  1.800000E-03  3.235884E-13  2.259079E+11  4.873411E-02  4.320000E-04  5.010077E+05
     3  3.000000E-03  3.223387E-12  2.267838E+10  4.873411E-02  7.200000E-04  1.587394E+05
     4  4.200000E-03  1.465172E-11  4.989256E+09  4.873411E-02  1.008000E-03  7.445547E+04
     5  5.400000E-03  4.539821E-11  1.610221E+09  4.873411E-02  1.296000E-03  4.229817E+04
     6  6.600000E-03  1.119991E-10  6.526943E+08  4.873411E-02  1.584000E-03  2.692983E+04
     7  7.800000E-03  2.375158E-10  3.077739E+08  4.873411E-02  1.872000E-03  1.849246E+04
     8  9.000000E-03  4.522287E-10  1.616465E+08  4.873411E-02  2.160000E-03  1.340176E+04
     9  1.020000E-02  7.942691E-10  9.203578E+07  4.873411E-02  2.448000E-03  1.011247E+04
    10  1.140000E-02  1.310203E-09  5.579376E+07  4.873411E-02  2.736000E-03  7.873567E+03
    11  1.260000E-02  2.055580E-09  3.556231E+07  4.873411E-02  3.024000E-03  6.285990E+03
    12  1.380000E-02  3.095443E-09  2.361574E+07  4.873411E-02  3.312000E-03  5.122471E+03
    13  1.500000E-02  4.504822E-09  1.622732E+07  4.873411E-02  3.600000E-03  4.246216E+03
    14  1.620000E-02  6.369194E-09  1.147730E+07  4.873411E-02  3.888000E-03  3.571072E+03
    15  1.740000E-02  8.784935E-09  8.321196E+06  4.873411E-02  4.176000E-03  3.040686E+03
    16  1.860000E-02  1.185974E-08  6.163808E+06  4.873411E-02  4.464000E-03  2.616997E+03
    17  1.980000E-02  1.571304E-08  4.652260E+06  4.873411E-02  4.752000E-03  2.273583E+03
    18  2.100000E-02  2.047641E-08  3.570019E+06  4.873411E-02  5.040000E-03  1.991654E+03
    19  2.220000E-02  2.629392E-08  2.780155E+06  4.873411E-02  5.328000E-03  1.757572E+03
    20  2.340000E-02  3.332256E-08  2.193744E+06  4.873411E-02  5.616000E-03  1.561247E+03
    21  2.460000E-02  4.173255E-08  1.751658E+06  4.873411E-02  5.904000E-03  1.395094E+03
    22  2.580000E-02  5.170775E-08  1.413737E+06  4.873411E-02  6.192000E-03  1.253323E+03
    23  2.700000E-02  6.344596E-08  1.152180E+06  4.873411E-02  6.480000E-03  1.131459E+03
    24  2.820000E-02  7.715925E-08  9.474065E+05  4.873411E-02  6.768000E-03  1.025999E+03
    25  2.940000E-02  9.307435E-08  7.854062E+05  4.873411E-02  7.056000E-03  9.341700E+02
    26  3.060000E-02  1.114329E-07  6.560107E+05  4.873411E-02  7.344000E-03  8.537568E+02
    27  3.180000E-02  1.324918E-07  5.517410E+05  4.873411E-02  7.632000E-03  7.829722E+02
    28  3.300000E-02  1.565236E-07  4.670298E+05  4.873411E-02  7.920000E-03  7.203624E+02
    29  3.420000E-02  1.838165E-07  3.976856E+05  4.873411E-02  8.208000E-03  6.647351E+02
    30  3.540000E-02  2.146751E-07  3.405200E+05  4.873411E-02  8.496000E-03  6.151061E+02
    31  3.660000E-02  2.494204E-07  2.930842E+05  4.873411E-02  8.784000E-03  5.706567E+02
    32  3.780000E-02  2.883900E-07  2.534803E+05  4.873411E-02  9.072000E-03  5.307021E+02
    33  3.900000E-02  3.319386E-07  2.202250E+05  4.873411E-02  9.360000E-03  4.946659E+02
    34  4.020000E-02  3.804383E-07  1.921499E+05  4.873411E-02  9.648000E-03  4.620604E+02
    35  4.140000E-02  4.342788E-07  1.683278E+05  4.873411E-02  9.936000E-03  4.324706E+02
