  120  1.0000E+00
   i   x             den           ener          pres          vel           cs
    1  5.000000E-03  3.712463E-11  1.846072E+09  4.568983E-02  1.200000E-03  4.529008E+04
    2  1.500000E-02  5.208443E-09  1.315840E+07  4.568983E-02  3.600000E-03  3.823668E+03
    3  2.500000E-02  5.188327E-08  1.320941E+06  4.568983E-02  6.000000E-03  1.211492E+03
    4  3.500000E-02  2.358325E-07  2.906078E+05  4.568983E-02  8.400000E-03  5.682408E+02
    5  4.500000E-02  7.307246E-07  9.379013E+04  4.568983E-02  1.080000E-02  3.228177E+02
    6  5.500000E-02  1.802725E-06  3.801731E+04  4.568983E-02  1.320000E-02  2.055272E+02
    7  6.500000E-02  3.823029E-06  1.792682E+04  4.568983E-02  1.560000E-02  1.411336E+02
    8  7.500000E-02  7.279024E-06  9.415377E+03  4.568983E-02  1.800000E-02  1.022816E+02
    9  8.500000E-02  1.278447E-05  5.360783E+03  4.568984E-02  2.040000E-02  7.717788E+01
   10  9.500000E-02  2.108889E-05  3.249804E+03  4.568984E-02  2.280000E-02  6.009071E+01
   11  1.050000E-01  3.308639E-05  2.071388E+03  4.568984E-02  2.520000E-02  4.797439E+01
   12  1.150000E-01  4.982393E-05  1.375540E+03  4.568985E-02  2.760000E-02  3.909447E+01
   13  1.250000E-01  7.250915E-05  9.451883E+02  4.568987E-02  3.000001E-02  3.240693E+01
   14  1.350000E-01  1.025180E-04  6.685154E+02  4.568989E-02  3.240001E-02  2.725426E+01
   15  1.450000E-01  1.414016E-04  4.846826E+02  4.568992E-02  3.480002E-02  2.320638E+01
   16  1.550000E-01  1.908936E-04  3.590218E+02  4.568996E-02  3.720003E-02  1.997281E+01
   17  1.650000E-01  2.529164E-04  2.709791E+02  4.569003E-02  3.960005E-02  1.735188E+01
   18  1.750000E-01  3.295878E-04  2.079421E+02  4.569012E-02  4.200007E-02  1.520022E+01
   19  1.850000E-01  4.232274E-04  1.619351E+02  4.569024E-02  4.440011E-02  1.341372E+01
   20  1.950000E-01  5.363622E-04  1.277786E+02  4.569041E-02  4.680016E-02  1.191538E+01
   21  2.050000E-01  6.717329E-04  1.020286E+02  4.569063E-02  4.920023E-02  1.064730E+01
   22  2.150000E-01  8.322997E-04  8.234579E+01  4.569091E-02  5.160033E-02  9.565318E+00
   23  2.250000E-01  1.021248E-03  6.711097E+01  4.569128E-02  5.400047E-02  8.635262E+00
   24  2.350000E-01  1.241993E-03  5.518360E+01  4.569176E-02  5.640065E-02  7.830396E+00
   25  2.450000E-01  1.498188E-03  4.574764E+01  4.569236E-02  5.880089E-02  7.129565E+00
   26  2.550000E-01  1.793725E-03  3.821079E+01  4.569311E-02  6.120120E-02  6.515860E+00
   27  2.650000E-01  2.132747E-03  3.213745E+01  4.569404E-02  6.360160E-02  5.975640E+00
   28  2.750000E-01  2.519647E-03  2.720333E+01  4.569518E-02  6.600212E-02  5.497810E+00
   29  2.850000E-01  2.959076E-03  2.316428E+01  4.569658E-02  6.840276E-02  5.073272E+00
   30  2.950000E-01  3.455951E-03  1.983460E+01  4.569827E-02  7.080358E-02  4.694512E+00
   31  3.050000E-01  4.015457E-03  1.707165E+01  4.570032E-02  7.320460E-02  4.355284E+00
   32  3.150000E-01  4.643054E-03  1.476488E+01  4.570276E-02  7.560585E-02  4.050361E+00
   33  3.250000E-01  5.344485E-03  1.282790E+01  4.570567E-02  7.800740E-02  3.775344E+00
   34  3.350000E-01  6.125779E-03  1.119265E+01  4.570912E-02  8.040929E-02  3.526510E+00
   35  3.450000E-01  6.993262E-03  9.805122E+00  4.571319E-02  8.281158E-02  3.300694E+00
   36  3.550000E-01  7.953559E-03  8.622170E+00  4.571796E-02  8.521435E-02  3.095188E+00
   37  3.650000E-01  9.013607E-03  7.609084E+00  4.572353E-02  8.761767E-02  2.907669E+00
   38  3.750000E-01  1.018066E-02  6.737778E+00  4.573000E-02  9.002164E-02  2.736132E+00
   39  3.850000E-01  1.146229E-02  5.985389E+00  4.573750E-02  9.242637E-02  2.578843E+00
   40  3.950000E-01  1.286642E-02  5.333204E+00  4.574616E-02  9.483196E-02  2.434293E+00
   41  4.050000E-01  1.440130E-02  4.765829E+00  4.575610E-02  9.723855E-02  2.301166E+00
   42  4.150000E-01  1.607557E-02  4.270534E+00  4.576750E-02  9.964629E-02  2.178311E+00
   43  4.250000E-01  1.789820E-02  3.836743E+00  4.578052E-02  1.020553E-01  2.064715E+00
   44  4.350000E-01  1.987857E-02  3.455632E+00  4.579535E-02  1.044659E-01  1.959488E+00
   45  4.450000E-01  2.202645E-02  3.119806E+00  4.581218E-02  1.068781E-01  1.861841E+00
   46  4.550000E-01  2.435205E-02  2.823042E+00  4.583123E-02  1.092923E-01  1.771077E+00
   47  4.650000E-01  2.686599E-02  2.560082E+00  4.585275E-02  1.117086E-01  1.686575E+00
   48  4.750000E-01  2.957935E-02  2.326470E+00  4.587699E-02  1.141274E-01  1.607783E+00
   49  4.850000E-01  3.250372E-02  2.118414E+00  4.590422E-02  1.165490E-01  1.534208E+00
   50  4.950000E-01  3.565119E-02  1.932674E+00  4.593475E-02  1.189736E-01  1.465406E+00
   51  5.050000E-01  3.903437E-02  1.766478E+00  4.596890E-02  1.214017E-01  1.400983E+00
   52  5.150000E-01  4.266649E-02  1.617442E+00  4.600703E-02  1.238337E-01  1.340581E+00
   53  5.250000E-01  4.656135E-02  1.483511E+00  4.604950E-02  1.262700E-01  1.283879E+00
   54  5.350000E-01  5.073345E-02  1.362910E+00  4.609673E-02  1.287110E-01  1.230587E+00
   55  5.450000E-01  5.519797E-02  1.254100E+00  4.614916E-02  1.311574E-01  1.180442E+00
   56  5.550000E-01  5.997087E-02  1.155743E+00  4.620725E-02  1.336096E-01  1.133207E+00
   57  5.650000E-01  6.506892E-02  1.066673E+00  4.627152E-02  1.360683E-01  1.088665E+00
   58  5.750000E-01  7.050980E-02  9.858737E-01  4.634250E-02  1.385342E-01  1.046621E+00
   59  5.850000E-01  7.631216E-02  9.124521E-01  4.642079E-02  1.410079E-01  1.006894E+00
   60  5.950000E-01  8.249569E-02  8.456263E-01  4.650702E-02  1.434903E-01  9.693218E-01
   61  6.050000E-01  8.908126E-02  7.847081E-01  4.660186E-02  1.459823E-01  9.337547E-01
   62  6.150000E-01  9.609099E-02  7.290908E-01  4.670604E-02  1.484847E-01  9.000560E-01
   63  6.250000E-01  1.035484E-01  6.782387E-01  4.682034E-02  1.509985E-01  8.681005E-01
   64  6.350000E-01  1.114785E-01  6.316774E-01  4.694562E-02  1.535247E-01  8.377731E-01
   65  6.450000E-01  1.199080E-01  5.889862E-01  4.708277E-02  1.560646E-01  8.089679E-01
   66  6.550000E-01  1.288655E-01  5.497915E-01  4.723278E-02  1.586193E-01  7.815878E-01
   67  6.650000E-01  1.383817E-01  5.137606E-01  4.739670E-02  1.611902E-01  7.555429E-01
   68  6.750000E-01  1.484894E-01  4.805967E-01  4.757567E-02  1.637786E-01  7.307505E-01
   69  6.850000E-01  1.592240E-01  4.500350E-01  4.777091E-02  1.663860E-01  7.071342E-01
   70  6.950000E-01  1.706238E-01  4.218381E-01  4.798374E-02  1.690141E-01  6.846232E-01
   71  7.050000E-01  1.827301E-01  3.957937E-01  4.821560E-02  1.716645E-01  6.631521E-01
   72  7.150000E-01  1.955877E-01  3.717109E-01  4.846804E-02  1.743391E-01  6.426602E-01
   73  7.250000E-01  2.092453E-01  3.494183E-01  4.874275E-02  1.770398E-01  6.230911E-01
   74  7.350000E-01  2.237559E-01  3.287614E-01  4.904153E-02  1.797686E-01  6.043926E-01
   75  7.450000E-01  2.391774E-01  3.096010E-01  4.936638E-02  1.825278E-01  5.865161E-01
   76  7.550000E-01  2.555732E-01  2.918114E-01  4.971945E-02  1.853196E-01  5.694163E-01
   77  7.650000E-01  2.730126E-01  2.752789E-01  5.010308E-02  1.881466E-01  5.530511E-01
   78  7.750000E-01  2.915720E-01  2.599007E-01  5.051983E-02  1.910112E-01  5.373812E-01
   79  7.850000E-01  3.113353E-01  2.455834E-01  5.097251E-02  1.939161E-01  5.223700E-01
   80  7.950000E-01  3.323954E-01  2.322422E-01  5.146417E-02  1.968644E-01  5.079832E-01
   81  8.050000E-01  3.548550E-01  2.198004E-01  5.199817E-02  1.998589E-01  4.941888E-01
   82  8.150000E-01  3.788277E-01  2.081877E-01  5.257818E-02  2.029028E-01  4.809570E-01
   83  8.250000E-01  4.044401E-01  1.973405E-01  5.320826E-02  2.059995E-01  4.682597E-01
   84  8.350000E-01  4.318330E-01  1.872004E-01  5.389287E-02  2.091523E-01  4.560706E-01
   85  8.450000E-01  4.611635E-01  1.777144E-01  5.463692E-02  2.123648E-01  4.443652E-01
   86  8.550000E-01  4.926075E-01  1.688338E-01  5.544585E-02  2.156407E-01  4.331202E-01
   87  8.650000E-01  5.263619E-01  1.605141E-01  5.632567E-02  2.189839E-01  4.223139E-01
   88  8.750000E-01  5.626482E-01  1.527146E-01  5.728306E-02  2.223982E-01  4.119258E-01
   89  8.850000E-01  6.017154E-01  1.453979E-01  5.832542E-02  2.258877E-01  4.019368E-01
   90  8.950000E-01  6.438446E-01  1.385295E-01  5.946099E-02  2.294565E-01  3.923286E-01
   91  9.050000E-01  6.893536E-01  1.320780E-01  6.069896E-02  2.331086E-01  3.830840E-01
   92  9.150000E-01  7.386026E-01  1.260141E-01  6.204958E-02  2.368482E-01  3.741867E-01
   93  9.250000E-01  7.920004E-01  1.203111E-01  6.352430E-02  2.406793E-01  3.656214E-01
   94  9.350000E-01  8.500123E-01  1.149442E-01  6.513597E-02  2.446061E-01  3.573734E-01
   95  9.450000E-01  9.131692E-01  1.098904E-01  6.689900E-02  2.486325E-01  3.494287E-01
   96  9.550000E-01  9.820777E-01  1.051285E-01  6.882957E-02  2.527621E-01  3.417740E-01
   97  9.650000E-01  1.057433E+00  1.006389E-01  7.094594E-02  2.569987E-01  3.343965E-01
   98  9.750000E-01  1.140034E+00  9.640331E-02  7.326867E-02  2.613454E-01  3.272839E-01
   99  9.850000E-01  1.230798E+00  9.240468E-02  7.582101E-02  2.658052E-01  3.204245E-01
  100  9.950000E-01  1.330788E+00  8.862718E-02  7.862933E-02  2.703807E-01  3.138067E-01
  101  1.005000E+00  1.441230E+00  8.505602E-02  8.172350E-02  2.750740E-01  3.074194E-01
  102  1.015000E+00  1.563546E+00  8.167737E-02  8.513756E-02  2.798865E-01  3.012518E-01
  103  1.025000E+00  1.699393E+00  7.847826E-02  8.891027E-02  2.848193E-01  2.952932E-01
  104  1.035000E+00  1.850701E+00  7.544655E-02  9.308599E-02  2.898728E-01  2.895332E-01
  105  1.045000E+00  2.019728E+00  7.257081E-02  9.771551E-02  2.950467E-01  2.839617E-01
  106  1.055000E+00  2.209124E+00  6.984031E-02  1.028573E-01  3.003400E-01  2.785684E-01
  107  1.065000E+00  2.422009E+00  6.724492E-02  1.085785E-01  3.057509E-01  2.733433E-01
  108  1.075000E+00  2.662068E+00  6.477514E-02  1.149572E-01  3.112772E-01  2.682767E-01
  109  1.085000E+00  2.933670E+00  6.242197E-02  1.220836E-01  3.169158E-01  2.633586E-01
  110  1.095000E+00  3.242014E+00  6.017696E-02  1.300630E-01  3.226629E-01  2.585794E-01
  111  1.105000E+00  3.593313E+00  5.803213E-02  1.390184E-01  3.285144E-01  2.539294E-01
  112  1.115000E+00  3.995021E+00  5.597999E-02  1.490941E-01  3.344653E-01  2.493992E-01
  113  1.125000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  114  1.135000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  115  1.145000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  116  1.155000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  117  1.165000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  118  1.175000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  119  1.185000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  120  1.195000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
